Allele	P.value	RAF	OR	Beta	Cl	Mapped.gene	Location
rs55840414-?	8x10-8	NR	-	-	-	NECTIN2,BCAM	19:44840322
rs55840414-?	2x10-15	NR	-	-	-	NECTIN2,BCAM	19:44840322
rs10407439-?	5x10-8	NR	-	-	-	NECTIN2,BCAM	19:44838691
rs2972562-?	5x10-8	NR	-	-	-	NECTIN2,BCAM	19:44840407
rs4803760-?	5x10-8	NR	-	-	-	NECTIN2,BCAM	19:44830577
rs112262807-?	5x10-8	NR	-	-	-	NECTIN2,BCAM	19:44828429
rs10407439-A	1x10-58	0.296	-	16.138115z-unitdecrease	NR	NECTIN2,BCAM	19:44838691
rs55840414-A	5x10-18	0.1183	-	8.655959z-unitdecrease	NR	NECTIN2,BCAM	19:44840322
rs547509922-T	3x10-13	0.003614	-	7.314314z-unitincrease	NR	NECTIN2,BCAM	19:44828004
rs13031703-?	5x10-8	NR	-	-	-	NIFKP9,BIN1	2:127129099
rs745717-?	5x10-8	NR	-	-	-	NIFKP9,BIN1	2:127136321
rs4663099-?	5x10-8	NR	-	-	-	NIFKP9,BIN1	2:127120856
rs35103166-?	5x10-8	NR	-	-	-	NIFKP9,BIN1	2:127124606
rs7575209-?	5x10-8	NR	-	-	-	NIFKP9,BIN1	2:127126547
rs28469095-C	2x10-38	0.09149	-	12.963469z-unitincrease	NR	NKPD1,MARK4	19:45152075
rs10421247-C	7x10-9	0.4994	-	5.801472z-unitdecrease	NR	NKPD1,MARK4	19:45154228
rs527162-?	5x10-8	NR	-	-	-	PICALM	11:86004693
rs867611-G	2x10-18	0.314	-	8.75z-unitdecrease	NR	PICALM	11:86065502
rs7480193-?	5x10-8	NR	-	-	-	PICALM,RNU6-560P	11:86150377
rs7114401-?	5x10-8	NR	-	-	-	PICALM,RNU6-560P	11:86128893
rs1859788-?	2x10-10	NR	-	-	-	PILRA	7:100374211
rs1859788-?	3x10-18	NR	-	-	-	PILRA	7:100374211
rs1859788-A	2x10-15	0.31	-	7.93z-unitdecrease	NR	PILRA	7:100374211
rs7384878-?	1x10-10	NR	1.07	-	[1.05,1.09]	PMS2P1	7:100334426
rs7384878-C	2x10-10	NR	-	6.335z-scoredecrease	NR	PMS2P1	7:100334426
rs35305377-?	5x10-8	NR	-	-	-	PMS2P1,STAG3L5P,STAG3L5P-PVRIG2P-PILRB	7:100341332
rs138137383-?	2x10-15	NR	-	-	-	PPP1R37,MARK4	19:45098343
rs17643262-?	3x10-18	NR	-	-	-	PPP1R37,MARK4	19:45128558
rs536518226-?	5x10-8	NR	-	-	-	PPP1R37,MARK4	19:45137507
rs138137383-?	2x10-15	NR	-	-	-	PPP1R37,MARK4	19:45098343
rs17643262-?	2x10-30	NR	-	-	-	PPP1R37,MARK4	19:45128558
rs10408847-?	5x10-8	NR	-	-	-	PPP1R37,MARK4	19:45131424
rs12292911-?	4x10-8	NR	-	-	-	PSMC3,RAPSN	11:47427521
rs28834970-?	7x10-6	NR	1.0458187	-	-	PTK2B	8:27337604
rs28834970-?	6x10-16	NR	1.0666256	-	[1.05003132808944-1.08348207689744]	PTK2B	8:27337604
rs10109834-?	5x10-8	NR	-	-	-	PTK2B	8:27354759
rs28834970-C	1x10-11	0.3644	-	6.8z-unitincrease	NR	PTK2B	8:27337604
rs28834970-C	2x10-7	NR	-	0.008589unitincrease	NR	PTK2B	8:27337604
rs203709-?	1x10-9	NR	-	-	-	PVR,AC243964.2	19:44658298
rs203709-?	7x10-17	NR	-	-	-	PVR,AC243964.2	19:44658298
rs203709-A	4x10-17	0.2645	-	8.408471z-unitdecrease	NR	PVR,AC243964.2	19:44658298
rs34874378-?	5x10-8	NR	-	-	-	RELB	19:45013623
rs114248186-?	5x10-8	NR	-	-	-	RELB	19:45020861
rs35194383-?	5x10-8	NR	-	-	-	RELB	19:45012792
rs4803791-?	5x10-8	NR	-	-	-	RELB	19:45020325
rs112380717-?	5x10-8	NR	-	-	-	RELB	19:45019803
rs35194383-T	8x10-13	0.4234	-	7.1647267z-unitincrease	NR	RELB	19:45012792
rs34874378-A	9x10-22	0.04366	-	9.593067z-unitincrease	NR	RELB	19:45013623
rs117612135-?	2x10-26	NR	-	-	-	RELB,CLPTM1	19:45001269
rs2376866-?	5x10-8	NR	-	-	-	RELB,CLPTM1	19:44997454
rs117612135-?	9x10-31	NR	-	-	-	RELB,CLPTM1	19:45001269
rs73037426-?	1x10-11	NR	-	-	-	RF00285,AC243964.2	19:44719517
rs150820726-?	3x10-8	NR	-	-	-	RF00285,AC243964.2	19:44723891
rs73037426-?	4x10-22	NR	-	-	-	RF00285,AC243964.2	19:44719517
rs150820726-?	3x10-8	NR	-	-	-	RF00285,AC243964.2	19:44723891
rs111740474-A	5x10-21	0.01165	-	9.402366z-unitincrease	NR	RF00285,AC243964.2	19:44720227
rs150820726-T	1x10-11	0.008836	-	6.80423z-unitincrease	NR	RF00285,AC243964.2	19:44723891
rs186110295-?	5x10-8	NR	-	-	-	RF00285,BCL3	19:44730236
rs186110295-T	4x10-11	0.01273	-	6.5884266z-unitincrease	NR	RF00285,BCL3	19:44730236
rs55923289-C	3x10-44	0.13	-	13.958599z-unitincrease	NR	RF00285,BCL3	19:44737327
rs10792832-?	2x10-6	-	1.0845798	-	NR	RNU6-560P,AP003097.2	11:86156833
rs10792832-?	2x10-12	NR	1.0730445	-	-	RNU6-560P,AP003097.2	11:86156833
rs10792832-?	2x10-7	NR	1.0670139	-	NR	RNU6-560P,AP003097.2	11:86156833
rs11603136-?	5x10-8	NR	-	-	-	RNU6-560P,AP003097.2	11:86163280
rs10792832-?	6x10-33	NR	1.1004289	-	[1.08330873363297-1.1178195976052]	RNU6-560P,AP003097.2	11:86156833
rs10792832-A	7x10-18	0.3702	-	8.61z-unitdecrease	NR	RNU6-560P,AP003097.2	11:86156833
rs10792832-A	6x10-9	NR	-	0.009614unitdecrease	NR	RNU6-560P,AP003097.2	11:86156833
rs580887-?	5x10-8	NR	-	-	-	RNU6-560P,PICALM	11:86120391
rs7938634-?	5x10-8	NR	-	-	-	RNU6-560P,PICALM	11:86134431
rs56157503-?	8x10-9	NR	-	-	-	RNU6-560P,PICALM	11:86152038
rs17745409-?	5x10-8	NR	-	-	-	RNU6-560P,PICALM	11:86101743
rs3844143-C	5x10-11	NR	-	6.562z-scoredecrease	NR	RNU6-560P,PICALM	11:86139201
rs576748-?	5x10-8	NR	-	-	-	SCARA3,CLU	8:27629399
rs485902-?	5x10-8	NR	-	-	-	SCARA3,CLU	8:27632442
rs3865444-A	6x10-9	0.32	-	5.81z-unitdecrease	NR	SIGLEC22P,CD33	19:51224706
rs8008388-?	2x10-6	NR	-	-	-	SLC24A4	14:92470346
rs12881735-?	2x10-8	NR	-	-	-	SLC24A4	14:92466484
rs12590654-?	5x10-8	NR	-	-	-	SLC24A4	14:92472511
rs8008388-?	6x10-11	NR	-	-	-	SLC24A4	14:92470346
rs10498633-T	2x10-7	NR	-	5.17z-unitdecrease	NR	SLC24A4	14:92460608
rs12590654-A	2x10-10	0.344	-	6.39z-unitdecrease	NR	SLC24A4	14:92472511
rs12590654-A	4x10-6	NR	-	4.628z-scoredecrease	NR	SLC24A4	14:92472511
rs11218343-?	2x10-6	NR	1.06359	-	NR	SORL1	11:121564878
rs11218343-?	1x10-9	NR	1.0624738	-	-	SORL1	11:121564878
rs11218343-C	1x10-11	0.03743	-	6.79z-unitdecrease	NR	SORL1	11:121564878
rs11218343-C	3x10-6	NR	-	0.007732unitdecrease	NR	SORL1	11:121564878
rs3740688-?	5x10-8	NR	-	-	-	SPI1	11:47358789
rs4727449-T	3x10-8	0.1607	-	5.5144157z-unitincrease	NR	STAG3	7:100188127
rs10119-?	1x10-307	NR	1.44	-	[1.41,1.46]	TOMM40	19:44903416
rs143332484-T	3x10-8	0.009954	-	5.5406914z-unitincrease	NR	TREM2	6:41161469
rs2632516-C	1x10-6	0.455	-	4.9z-unitdecrease	NR	TSPOAP1-AS1,AC004687.1	17:58331728
rs187370608-A	1x10-16	0.002	-	8.26z-unitincrease	NR	UNC5CL,AL583854.1	6:40974457
rs187370608-A	2x10-16	NR	-	8.261z-scoreincrease	NR	UNC5CL,AL583854.1	6:40974457
rs1476679-?	3x10-10	NR	1.0651333	-	-	ZCWPW1	7:100406823
rs1476679-?	2x10-6	NR	1.0603615	-	NR	ZCWPW1	7:100406823
rs1476679-C	6x10-14	0.3085	-	7.51z-unitdecrease	NR	ZCWPW1	7:100406823
rs1476679-C	1x10-9	NR	-	0.009998unitdecrease	NR	ZCWPW1	7:100406823
rs9916042-A	5x10-8	NR	-	5.461z-scoreincrease	NR	ZFP3	17:5081152
rs3845261-?	4x10-8	NR	1.06	-	[1.04,1.08]	ZFP3,ZNF232	17:5104941
rs3845261-?	5x10-8	NR	-	-	-	ZFP3,ZNF232	17:5104941
rs73976310-?	5x10-8	NR	-	-	-	ZNF232	17:5110917
